,Αριθμός Ταυτότητας,Ημερομηνία Έκδοσης,Όνομα,Given Name,Επώνυμο,Surname,Πατρώνυμο,Mητέρας Όνομα,Επίθετο Μητέρας,Ημερομηνία Γέννησης,Καταγωγή,Ύψος,Δημότης,Αρχή Έκδοσης Δελτίου
205,II2373350,22/06/2019,Ειρηναίος,Eirenaios,Σταμούλης,Stamoules,Σταμάτης,Ρεβέκα,Σταμούλη,21/04/1921,Ηράκλειο Τρίκαλα,-,Ιωάννινα 35779/3,Υ.Α. Τρίκαλα Ηράκλειο
206,IH4496902,22/01/2021,Άρης,Ares,Τσιρώνης,Tsirones,Ασημάκης,Χριστοφόρα,Φιλιάγκου,04/03/1976,Βοιωτία Μεσολόγγι,-,Καστοριά 69775/4,Υ.Α. Μεσολόγγι Βοιωτία
207,T1408506,28/10/2007,Αβραάμ,Abraam,Δανέζης,Danezes,Θεόδωρος,Ματθίλδη,Κονιάρη,20/06/1920,Εύβοια Πύργος,-,Δράμα 73018/7,Υ.Α. Πύργος Εύβοια
208,Z2383654,24/06/2020,Λεμονιά,Lemonia,Αλεξοπούλου,Alexopoulou,Ακρίτας,Παντούλα,Κυρίτση,16/07/1931,Αττική Αλεξανδρούπολη,-,Λευκάδα 22551/2,Υ.Α. Αλεξανδρούπολη Αττική
209,I5987662,04/10/2007,Ευκλείδης,Eukleides,Τσακανίκας,Tsakanikas,Ξανθός,Καλλιρρόη,Μπαλανίκα,24/12/1997,Θεσσαλονίκη Κέρκυρα,-,Βόλος 91232/5,Υ.Α. Κέρκυρα Θεσσαλονίκη
210,I8928292,14/11/2014,Αγάθη,Agathe,Καραογλάνη,Karaoglane,Άριστος,Φιλιώ,Λογοθέτη,20/08/1975,Δράμα Καρδίτσα,-,Μεσολόγγι 83211/9,Υ.Α. Καρδίτσα Δράμα
211,E9980664,30/06/2019,Μαυρίκιος,Maurikios,Μανούκας,Manoukas,Ανέστης,Αγνή,Αναστασάκη,05/09/1955,Ροδόπη Πύργος,-,Λευκάδα 85968/9,Υ.Α. Πύργος Ροδόπη
212,K4385236,28/12/2010,Κίμων,Kimon,Μόκας,Mokas,Δομήνικος,Χιονιά,Βακουφτσή,13/10/1926,Τρίκαλα Λευκάδα,-,Λαμία 42275/3,Υ.Α. Λευκάδα Τρίκαλα
213,IA2748963,30/10/2011,Βελισσαρία,Belissaria,Κουτσιουμάρη,Koutsioumare,Βησσαρίων,Σωφρονία,Μπύρου,09/02/1986,Ξάνθη Σάμος,-,Κιλκίς 96632/6,Υ.Α. Σάμος Ξάνθη
214,X8544747,04/12/2009,Παρασκευάς,Paraskeuas,Βλησαρούλης,Blesaroules,Γαληνός,Χαρά,Χανταμπή,15/02/2010,Φθιώτιδα Πύργος,-,Πολύγυρος 59227/2,Υ.Α. Πύργος Φθιώτιδα
215,N7306369,27/12/2012,Κασσάνδρα,Kassandra,Μποζίκη,Mpozike,Νικηφόρος,Κυβέλη,Σηκωτίδου,23/01/2009,Αχαΐα Σάμος,-,Κατερίνη 75743/1,Υ.Α. Σάμος Αχαΐα
216,X8683434,16/04/2007,Επαμεινώνδας,Epameinondas,Σφούνης,Sphounes,Τίτος,Υακίνθη,Τοπαλή,21/03/1990,Ηλεία Λάρισα,-,Πύργος 11429/5,Υ.Α. Λάρισα Ηλεία
217,H7113557,07/02/2019,Ηλιάνα,Eliana,Κουτκιά,Koutkia,Περικλής,Πηγή,Τουρνά,02/06/2011,Ζάκυνθος Χανιά,-,Χίος 33744/1,Υ.Α. Χανιά Ζάκυνθος
218,TX9576865,29/03/2016,Ζηνοβία,Zenobia,Μαυραειδή,Mauraeide,Λουδοβίκος,Ειρήνη,Ντζιαβίδα,11/11/2002,Σάμος Λευκάδα,-,Έδεσσα 18959/8,Υ.Α. Λευκάδα Σάμος
219,KE2251527,12/03/2015,Καλή,Kale,Χαραλαμπίδου,Kharalampidou,Αδαμάντιος,Αννίκα,Βερβερίδου,06/03/1977,Ρέθυμνο Κομοτηνή,-,Χανιά 50920/5,Υ.Α. Κομοτηνή Ρέθυμνο
220,E0326541,27/09/2014,Ανδροκλής,Androkles,Λάκκας,Lakkas,Κίμων,Βαλέρια,Λυμαξή,22/06/1949,Αιτωλία & Ακαρνανία Πύργος,-,Καλαμάτα 13385/5,Υ.Α. Πύργος Αιτωλία & Ακαρνανία
221,I5207903,12/10/2017,Σωτήρης,Soteres,Λιανάκης,Lianakes,Ταξιάρχης,Βαγιανή,Ξηροδήμα,27/04/2002,Κυκλάδες Χίος,-,Τρίκαλα 91976/4,Υ.Α. Χίος Κυκλάδες
222,T1625279,07/01/2014,Φρίξος,Phrixos,Σπυρόπουλος,Spuropoulos,Χάρις,Αστέρω,Φιδάνη,13/11/1994,Κοζάνη Καρπενήσι,-,Χαλκίδα 81196/7,Υ.Α. Καρπενήσι Κοζάνη
223,B2420504,10/11/2020,Αμφιτρίτη,Amphitrite,Συβιλιά,Subilia,Τίμων,Ζησούλα,Παλιεράκη,22/05/1982,Κοζάνη Πρέβεζα,-,Πρέβεζα 10946/3,Υ.Α. Πρέβεζα Κοζάνη
224,IX4113326,29/12/2020,Συμεών,Sumeon,Σπανός,Spanos,Ζαφείρης,Ζηνοβία,Κουτσούμπεη,13/10/1948,Χίος Καλαμάτα,-,Λευκάδα 09084/9,Υ.Α. Καλαμάτα Χίος
225,H4565024,06/10/2015,Πολύδωρος,Poludoros,Τολούδης,Toloudes,Δανιήλ,Φιλιππία,Παντίσκα,24/02/1921,Κυκλάδες Δράμα,-,Κέρκυρα 90225/2,Υ.Α. Δράμα Κυκλάδες
226,M5706339,29/12/2013,Ζηνοβία,Zenobia,Χωριανοπούλου,Khorianopoulou,Αριστείδης,Ελέσσα,Ζαννίκου,24/06/1960,Μεσσηνία Καβάλα,-,Δράμα 07746/7,Υ.Α. Καβάλα Μεσσηνία
227,N8309192,21/04/2008,Μιλτιάδης,Miltiades,Αναστασίου,Anastasiou,Ανδρέας,Μαρίνα,Ρούσσου,21/05/1948,Καρδίτσα Γρεβενά,-,Ρέθυμνο 52476/4,Υ.Α. Γρεβενά Καρδίτσα
228,TY5097518,01/01/2008,Τζένη,Tzene,Κοντογιάννη,Kontogianne,Γιάννης,Πολύμνια,Σωτηροπούλου,02/10/1987,Θεσπρωτία Καλαμάτα,-,Κόρινθος 00722/7,Υ.Α. Καλαμάτα Θεσπρωτία
229,O4657452,12/12/2010,Ναπολέων,Napoleon,Τζέκος,Tzekos,Ιππόλυτος,Αρετή,Θεοδοσίου,25/01/1973,Αργολίδα Βέροια,-,Ρόδος 04199/5,Υ.Α. Βέροια Αργολίδα
230,XY5906000,28/08/2016,Χάρις,Kharis,Ντουλιάς,Ntoulias,Πέτρος,Ανθούλα,Χολέβα,29/04/1928,Ημαθία Κόρινθος,-,Έδεσσα 93478/8,Υ.Α. Κόρινθος Ημαθία
231,AK8558833,08/06/2020,Πουλχερία,Poulkheria,Διακουμή,Diakoume,Βησσαρίων,Λευκοθέα,Χουρζαμάνη,30/11/2003,Χίος Μυτιλήνη,-,Άρτα 75359/7,Υ.Α. Μυτιλήνη Χίος
232,ZN1158351,29/10/2013,Λουδοβίκος,Loudobikos,Καρανικόλας,Karanikolas,Ανέστης,Πηγή,Σαλέμη,06/04/1916,Αρκαδία Αθήνα,-,Ζάκυνθος 09866/7,Υ.Α. Αθήνα Αρκαδία
233,TH2695849,06/12/2015,Λητώ,Leto,Ματσούρη,Matsoure,Θεμιστοκλής,Αρτεμισία,Φρονιμάκη,09/08/1981,Έβρος Τρίκαλα,-,Ξάνθη 04757/4,Υ.Α. Τρίκαλα Έβρος
234,BM8038090,02/03/2018,Χριστοδούλα,Khristodoula,Πανταζή,Pantaze,Μερκούριος,Μαριγώ,Βυζιηνού,28/11/1931,Καστοριά Αθήνα,-,Χίος 41744/9,Υ.Α. Αθήνα Καστοριά
235,T2528099,20/07/2006,Ευμορφία,Eumorphia,Μπεκάκου,Mpekakou,Κωνσταντίνος,Λητώ,Μασαούτη,22/06/1921,Λακωνία Πάτρα,-,Ηγουμενίτσα 53226/2,Υ.Α. Πάτρα Λακωνία
236,H9532911,21/02/2009,Αηδόνα,Aedona,Κουμάρα,Koumara,Αριστοτέλης,Ροδόκλεια,Καραντάνα,08/05/1981,Λάρισσα Ξάνθη,-,Κέρκυρα 95149/4,Υ.Α. Ξάνθη Λάρισσα
237,E9484801,20/04/2012,Τίτος,Titos,Ζαχαρίου,Zakhariou,Ζαχαρίας,Νίκη,Χριστοφόρη,22/01/2002,Ιωάννινα Πρέβεζα,-,Πάτρα 75772/2,Υ.Α. Πρέβεζα Ιωάννινα
238,MM8839193,16/05/2020,Δούκισσα,Doukissa,Νικολοπούλου,Nikolopoulou,Γρηγόριος,Σμαράγδα,Μπύρου,18/05/1962,Θεσσαλονίκη Ηράκλειο,-,Σέρρες 10919/1,Υ.Α. Ηράκλειο Θεσσαλονίκη
239,Y5548344,24/05/2008,Μαυρούδης,Mauroudes,Κελαϊδώνης,Kelaidones,Γιώργος,Αλεξία,Ασλανίδου,29/05/1932,Λασσίθι Φλώρινα,-,Τρίπολη 45248/7,Υ.Α. Φλώρινα Λασσίθι
240,Z7533384,07/07/2014,Συμεωνία,Sumeonia,Ζαχαρίου,Zakhariou,Ζηνόβιος,Θέτις,Πολέμη,22/07/1968,Σέρρες Σέρρες,-,Καστοριά 78206/7,Υ.Α. Σέρρες Σέρρες
241,XB0620162,31/12/2011,Ιάσονας,Iasonas,Ορφανιώτης,Orphaniotes,Αλέξανδρος,Ερωφίλη,Ξανθοπούλου,04/05/1926,Πέλλα Κέρκυρα,-,Καρπενήσι 35585/4,Υ.Α. Κέρκυρα Πέλλα
242,BB6026538,11/04/2011,Μεθόδιος,Methodios,Κορομήλας,Koromelas,Θεοχάρης,Σεβαστή,Βαρθαλίτη,26/09/1912,Θεσπρωτία Ξάνθη,-,Βέροια 21405/9,Υ.Α. Ξάνθη Θεσπρωτία
243,X9545225,29/06/2017,Σωτήριος,Soterios,Καπετάνιος,Kapetanios,Ιωάννης,Πηνελόπη,Ξυγκάκου,23/04/1987,Λακωνία Χίος,-,Γρεβενά 79480/9,Υ.Α. Χίος Λακωνία
244,IZ3099102,16/10/2014,Βαλεντίνος,Balentinos,Μίσχος,Miskhos,Αγαπητός,Πολύμνια,Βασιλειάδη,28/10/1955,Εύβοια Ναύπλιο,-,Καρπενήσι 65315/9,Υ.Α. Ναύπλιο Εύβοια
245,Z7417908,22/12/2008,Λαυρέντιος,Laurentios,Σκουλαρίδης,Skoularides,Θεόκλητος,Ευρυδίκη,Δημητρέλου,04/07/1911,Θεσπρωτία Κιλκίς,-,Πολύγυρος 09605/8,Υ.Α. Κιλκίς Θεσπρωτία
246,HX4008731,12/06/2020,Ζαφείρης,Zapheires,Μπαλουκίδης,Mpaloukides,Λεωνίδας,Παγώνα,Βαζούρα,28/05/1975,Ιωάννινα Χαλκίδα,-,Λιβαδιά 66043/8,Υ.Α. Χαλκίδα Ιωάννινα
247,EY0249957,07/11/2017,Αγγελής,Aggeles,Λαφατζής,Laphatzes,Δρόσος,Αμφιτρίτη,Ατσαλάκη,28/11/1958,Ηλεία Άρτα,-,Άρτα 90322/1,Υ.Α. Άρτα Ηλεία
248,KY0736865,17/11/2018,Κικιλία,Kikilia,Κοφινάκη,Kophinake,Αριστομένης,Εύα,Κεσκίνη,11/09/1977,Φθιώτιδα Χαλκίδα,-,Αγ. Νικόλαος 08652/1,Υ.Α. Χαλκίδα Φθιώτιδα
249,N3152998,11/08/2011,Ρωξάνη,Roxane,Παπαδοπούλου,Papadopoulou,Φρειδερίκος,Φλωρεντία,Δημακογιάννη,13/12/1918,Ρέθυμνο Ζάκυνθος,-,Θεσσαλονίκη 27082/3,Υ.Α. Ζάκυνθος Ρέθυμνο
250,O6129166,16/10/2008,Φαίδων,Phaidon,Τσαγλιώτης,Tsagliotes,Θεοδόσης,Θεοδώρα,Δαμαλά,04/04/2002,Καστοριά Άρτα,-,Μεσολόγγι 04421/8,Υ.Α. Άρτα Καστοριά
251,I5048925,08/11/2007,Ισίδωρος,Isidoros,Γεωργακόπουλος,Georgakopoulos,Θεοδόσης,Σταυρούλα,Τσάκη,11/09/1950,Κέρκυρα Πρέβεζα,-,Καρδίτσα 21512/8,Υ.Α. Πρέβεζα Κέρκυρα
252,P2846440,17/09/2020,Θεόδουλος,Theodoulos,Μαραγκός,Maragkos,Σωτήριος,Ευμορφία,Βαϊραμίδου,28/06/1974,Δωδεκάνησσος Έδεσσα,-,Καρπενήσι 08212/8,Υ.Α. Έδεσσα Δωδεκάνησσος
253,PI2291935,20/11/2015,Γαλάτεια,Galateia,Μέλανι,Melani,Αθηναγόρας,Γλυκερία,Κουζουλά,24/01/1987,Κυκλάδες Χαλκίδα,-,Χίος 01386/4,Υ.Α. Χαλκίδα Κυκλάδες
254,K9804220,08/08/2018,Ρούσα,Rousa,Παπανδρικοπούλου,Papandrikopoulou,Όθων,Κομνηνή,Καργάκου,27/11/1917,Ιωάννινα Άμφισσα,-,Έδεσσα 62043/8,Υ.Α. Άμφισσα Ιωάννινα
255,H1094247,07/05/2015,Παρασκευή,Paraskeue,Οικονόμου,Oikonomou,Πρόδρομος,Ελισάβετ,Γρηγοριάδου,28/11/1917,Πέλλα Ναύπλιο,-,Κέρκυρα 27703/7,Υ.Α. Ναύπλιο Πέλλα
256,Z3791940,19/12/2014,Χαρίτος,Kharitos,Βαϊτσόπουλος,Baitsopoulos,Θεοφάνης,Ασημούλα,Καζαντζή,27/10/2009,Χίος Χανιά,-,Ξάνθη 34833/7,Υ.Α. Χανιά Χίος
257,EX5279701,05/07/2013,Γεσθημανή,Gesthemane,Διακουμή,Diakoume,Ευάγγελος,Άννα,Τόλη,10/11/1945,Ημαθία Καβάλα,-,Κόρινθος 10050/3,Υ.Α. Καβάλα Ημαθία
258,X4611635,06/07/2014,Αικατερίνη,Aikaterine,Παπανικολάου,Papanikolaou,Δαμιανός,Ευσεβεία,Ξηροτύρη,06/02/1945,Κορινθία Μεσολόγγι,-,Θεσσαλονίκη 08948/8,Υ.Α. Μεσολόγγι Κορινθία
259,IP0082018,28/07/2017,Ευπραξία,Eupraxia,Βαλεντή,Balente,Δωρόθεος,Ουρανία,Συβιλιά,26/01/1993,Τρίκαλα Κατερίνη,-,Τρίπολη 78693/6,Υ.Α. Κατερίνη Τρίκαλα
260,K0455787,17/08/2006,Θεμιστοκλής,Themistokles,Πιτσολής,Pitsoles,Άρης,Βικέντια,Καμπούρη,26/05/1974,Λέσβος Τρίπολη,-,Χαλκίδα 43154/7,Υ.Α. Τρίπολη Λέσβος
261,YP3500370,15/01/2015,Πάρις,Paris,Κουρκουτάς,Kourkoutas,Πολύδωρος,Βιργινία,Κουκουθάκη,07/02/1971,Καβάλα Ζάκυνθος,-,Έδεσσα 43354/3,Υ.Α. Ζάκυνθος Καβάλα
262,P5521931,28/08/2013,Τρυφωνία,Truphonia,Ανανιάδου,Ananiadou,Θεόδουλος,Χριστοφόρα,Παπαδοπούλου,16/04/2005,Αιτωλία & Ακαρνανία Κομοτηνή,-,Κατερίνη 09994/4,Υ.Α. Κομοτηνή Αιτωλία & Ακαρνανία
263,YT8098350,13/06/2012,Φιλιππία,Philippia,Κοτρώτσου,Kotrotsou,Λουδοβίκος,Νικητία,Ζαρειφοπούλου,14/10/1989,Ξάνθη Λάρισα,-,Ερμούπολη 71037/5,Υ.Α. Λάρισα Ξάνθη
264,P4974790,02/10/2019,Ευσεβεία,Eusebeia,Ψυρρή,Psurre,Αδάμ,Νεκταρία,Βαρθαλίτη,20/04/1968,Μεσσηνία Αργοστόλι,-,Άρτα 42034/3,Υ.Α. Αργοστόλι Μεσσηνία
265,MH6442639,16/02/2011,Ταξίαρχος,Taxiarkhos,Μπακλάβας,Mpaklabas,Αλέξιος,Τρισεύγενη,Αποστολίδου,23/01/1924,Δράμα Σάμος,-,Άμφισσα 57000/2,Υ.Α. Σάμος Δράμα
266,OH7497570,24/05/2014,Παναγία,Panagia,Συβιλιά,Subilia,Τριαντάφυλλος,Γεσθημανή,Χαντζή,13/09/1989,Κέρκυρα Καλαμάτα,-,Λάρισα 57301/1,Υ.Α. Καλαμάτα Κέρκυρα
267,I4931548,11/12/2010,Αναξαγόρας,Anaxagoras,Κουτσουλής,Koutsoules,Διονύσιος,Γραμματική,Κουκουθάκη,17/02/2008,Λασσίθι Κιλκίς,-,Αθήνα 92680/9,Υ.Α. Κιλκίς Λασσίθι
268,Z6758295,22/01/2019,Μενέλαος,Menelaos,Λαουρδέκης,Laourdekes,Αναξαγόρας,Μάνθα,Μυλωνίδου,26/05/1960,Καβάλα Αθήνα,-,Κοζάνη 80734/7,Υ.Α. Αθήνα Καβάλα
269,MI6564123,04/06/2019,Πολύμνια,Polumnia,Βουτσινά,Boutsina,Κλεόπας,Λαυρεντία,Γαλανοπούλου,25/05/1969,Δωδεκάνησσος Ερμούπολη,-,Σάμος 20714/7,Υ.Α. Ερμούπολη Δωδεκάνησσος
270,N3840421,18/12/2020,Αχιλλέας,Akhilleas,Δουμάς,Doumas,Πραξιτέλης,Αγγελική,Τσαμοπούλου,28/02/1964,Ημαθία Κοζάνη,-,Χίος 49723/8,Υ.Α. Κοζάνη Ημαθία
271,PH9811151,19/09/2016,Αγόρω,Agoro,Ροδίτου,Roditou,Μαγδαληνός,Σωφρονία,Μισίδου,06/09/1912,Ευρυτανία Ξάνθη,-,Ναύπλιο 38113/7,Υ.Α. Ξάνθη Ευρυτανία
272,NT4040463,20/04/2009,Νταίζη,Ntaize,Παντίσκα,Pantiska,Σπυρίδων,Μαριλένα,Δρόσου,30/09/1996,Ξάνθη Πάτρα,-,Χίος 38746/7,Υ.Α. Πάτρα Ξάνθη
273,MI1265373,01/05/2011,Μαργιέττα,Margietta,Σύψα,Supsa,Φαίδων,Ευσταθία,Σφακιανάκη,25/07/1982,Βοιωτία Καρπενήσι,-,Κέρκυρα 06064/9,Υ.Α. Καρπενήσι Βοιωτία
274,X7985707,09/10/2017,Θρασύβουλος,Thrasuboulos,Γερόπουλος,Geropoulos,Σπυρίδων,Πολυνίκη,Μπατσάκη,25/03/1940,Λευκάδα Αγ. Νικόλαος,-,Καστοριά 85450/1,Υ.Α. Αγ. Νικόλαος Λευκάδα
275,AT5016777,22/10/2019,Μελένια,Melenia,Μαυροείδη,Mauroeide,Διαμαντής,Ευτέρπη,Γεωργαρά,06/09/1967,Θεσπρωτία Ξάνθη,-,Πύργος 74546/8,Υ.Α. Ξάνθη Θεσπρωτία
276,A3256277,01/04/2017,Αυγέρης,Augeres,Σαμαράς,Samaras,Λυκούργος,Σωτηρία,Τζιγκούρα,02/07/1999,Τρίκαλα Μεσολόγγι,-,Αργοστόλι 07974/4,Υ.Α. Μεσολόγγι Τρίκαλα
277,E6532971,02/06/2014,Λουκία,Loukia,Φασουλή,Phasoule,Αθηναγόρας,Μελίνα,Φωλιά,24/10/1929,Έβρος Καβάλα,-,Μυτιλήνη 79922/7,Υ.Α. Καβάλα Έβρος
278,B5686681,06/06/2019,Ραφαήλ,Raphael,Τσαραμιάδης,Tsaramiades,Αιμιλιανός,Φρύνη,Μηλιάκη,21/02/1977,Ξάνθη Κομοτηνή,-,Ερμούπολη 43012/8,Υ.Α. Κομοτηνή Ξάνθη
279,A8481495,11/10/2019,Δόμνα,Domna,Γερούκη,Gerouke,Ναθαναήλ,Βικτωρία,Ζώη,06/12/1920,Μεσσηνία Πολύγυρος,-,Κοζάνη 51666/3,Υ.Α. Πολύγυρος Μεσσηνία
280,E0128273,22/04/2008,Λεμονής,Lemones,Έψιμος,Epsimos,Ανάργυρος,Παντούλα,Ντότση,15/04/1924,Πρέβεζα Μυτιλήνη,-,Γρεβενά 97938/2,Υ.Α. Μυτιλήνη Πρέβεζα
281,M7494789,17/07/2019,Ευσταθία,Eustathia,Καρατάσου,Karatasou,Ορέστης,Χρυσή,Σπυριδάκη,31/12/1923,Θεσσαλονίκη Βέροια,-,Χαλκίδα 43687/8,Υ.Α. Βέροια Θεσσαλονίκη
282,P2481558,15/02/2017,Λεμονιά,Lemonia,Δαμήλου,Damelou,Παράσχος,Μαλαμάτη,Παπανώτα,05/04/1960,Αττική Σάμος,-,Χαλκίδα 68019/5,Υ.Α. Σάμος Αττική
283,IY9059914,21/11/2019,Ξένη,Ksene,Παπαστεργίου,Papastergiou,Τριαντάφυλλος,Αλεξία,Σακκή,28/04/1997,Ημαθία Σέρρες,-,Σάμος 02810/1,Υ.Α. Σέρρες Ημαθία
284,BK4832385,19/02/2014,Έλλη,Elle,Χοντζιά,Khontzia,Εφραίμ,Δούκισσα,Φωτακοπούλου,02/01/2000,Ευρυτανία Καστοριά,-,Ηγουμενίτσα 17448/6,Υ.Α. Καστοριά Ευρυτανία
285,OM2665040,05/05/2009,Σουλτάνα,Soultana,Γιατράκου,Giatrakou,Αλέξανδρος,Ακριβή,Γεωργακοπούλου,06/02/2004,Αχαΐα Ρέθυμνο,-,Χαλκίδα 33806/1,Υ.Α. Ρέθυμνο Αχαΐα
286,A0830439,01/09/2008,Πανωραία,Panoraia,Καπανταϊδάκη,Kapantaidake,Επαμεινώνδας,Τσαμπίκα,Τσέτου,27/05/1922,Φθιώτιδα Σπάρτη,-,Καλαμάτα 51479/4,Υ.Α. Σπάρτη Φθιώτιδα
287,TX8408202,20/01/2009,Επαμεινώνδας,Epameinondas,Τσέγας,Tsegas,Πασχάλης,Ευτυχία,Ποσάντζη,17/03/2002,Έβρος Αργοστόλι,-,Καλαμάτα 64598/1,Υ.Α. Αργοστόλι Έβρος
288,AM1515935,19/06/2013,Αντύπας,Antupas,Βαϊτσόπουλος,Baitsopoulos,Ανανίας,Δαμιανή,Αβραμπέκη,23/06/1913,Άρτα Μυτιλήνη,-,Ζάκυνθος 75433/1,Υ.Α. Μυτιλήνη Άρτα
289,XE8390347,03/03/2018,Ευγένιος,Eugenios,Δρουλιάς,Droulias,Άγγελος,Άρτεμις,Δημητριάδου,01/07/1978,Καβάλα Ηράκλειο,-,Φλώρινα 80432/6,Υ.Α. Ηράκλειο Καβάλα
290,KE7116214,13/09/2009,Διδώ,Dido,Καμπούρη,Kampoure,Νεκτάριος,Μάνθα,Χωρινού,27/05/2007,Τρίκαλα Βέροια,-,Κόρινθος 67026/7,Υ.Α. Βέροια Τρίκαλα
291,O5613209,24/07/2006,Αρχέλαος,Arkhelaos,Αναστασίου,Anastasiou,Θεόκλητος,Αθανασία,Ντότση,22/02/2004,Κοζάνη Πάτρα,-,Έδεσσα 74487/4,Υ.Α. Πάτρα Κοζάνη
292,A6005641,12/10/2015,Διονυσία,Dionusia,Τσαμπούρη,Tsampoure,Κυριαζής,Λαζαρία,Αποστολίδου,21/01/1970,Χίος Κατερίνη,-,Κοζάνη 10744/5,Υ.Α. Κατερίνη Χίος
293,KI8018262,31/12/2010,Φαίδρα,Phaidra,Κουτκιά,Koutkia,Θεόκλητος,Κοκκώνα,Ξυγκάκου,01/12/1986,Λάρισσα Χανιά,-,Κιλκίς 85631/8,Υ.Α. Χανιά Λάρισσα
294,KH6742999,02/05/2017,Κυπαρισσία,Kuparissia,Χολέβα,Kholeba,Αθηνόδωρος,Λεμονιά,Χατζημιχαήλ,02/07/1924,Φθιώτιδα Καρπενήσι,-,Κοζάνη 23594/8,Υ.Α. Καρπενήσι Φθιώτιδα
295,ZO0225049,09/08/2012,Αναστάσιος,Anastasios,Τσούμος,Tsoumos,Γαρύφαλλος,Ματρώνη,Ζώη,18/04/1999,Σέρρες Έδεσσα,-,Πάτρα 44882/1,Υ.Α. Έδεσσα Σέρρες
296,K3008853,14/04/2012,Στυλιανός,Stulianos,Τσεντούρος,Tsentouros,Θεοδόσιος,Λαυρεντία,Καχριμανίδη,21/04/1975,Σέρρες Κιλκίς,-,Αλεξανδρούπολη 81723/7,Υ.Α. Κιλκίς Σέρρες
297,EB5665679,13/05/2016,Ρούσα,Rousa,Κυριαννάκη,Kuriannake,Ανδρόνικος,Άννα,Βασιλάκη,29/03/1924,Κοζάνη Κιλκίς,-,Κέρκυρα 21393/8,Υ.Α. Κιλκίς Κοζάνη
298,MX9165934,06/05/2009,Προκόπιος,Prokopios,Σταμούλης,Stamoules,Κυριαζής,Τσαμπίκα,Περουλάκη,25/01/1922,Μεσσηνία Ηγουμενίτσα,-,Θεσσαλονίκη 88012/9,Υ.Α. Ηγουμενίτσα Μεσσηνία
299,K1267693,29/10/2008,Μερόπη,Merope,Καρολίδου,Karolidou,Σωτήρης,Χρυσοβαλάντου,Βαρθαλίτη,22/04/1973,Βοιωτία Ρόδος,-,Καλαμάτα 25897/7,Υ.Α. Ρόδος Βοιωτία
300,P5779208,09/03/2012,Λαζαρία,Lazaria,Δερλώπα,Derlopa,Θεόπιστος,Αλεξία,Κουκουβά,25/01/1921,Άρτα Καστοριά,-,Ηγουμενίτσα 15542/4,Υ.Α. Καστοριά Άρτα
301,TY3603283,28/02/2016,Ίκαρος,Ikaros,Λέλεκας,Lelekas,Αρτέμιος,Ολύμπια,Πατσουρέα,26/07/1956,Θεσπρωτία Βόλος,-,Γρεβενά 79376/6,Υ.Α. Βόλος Θεσπρωτία
302,NO8844718,05/05/2019,Ιππόλυτος,Ippolutos,Λαμπρινός,Lamprinos,Λεονάρδος,Κανέλλα,Μίχου,03/02/1940,Σέρρες Χανιά,-,Καρπενήσι 75261/6,Υ.Α. Χανιά Σέρρες
303,KB1224175,24/10/2012,Κηρύκος,Kerukos,Νταβάς,Ntabas,Βενιαμίν,Καλλίνικη,Μπιμπίκα,30/01/1961,Πρέβεζα Ξάνθη,-,Λιβαδιά 81946/4,Υ.Α. Ξάνθη Πρέβεζα
304,ON0634285,26/03/2020,Ελένη,Elene,Σελινοπούλου,Selinopoulou,Ευστάθιος,Αφροδίτη,Τρεντσίου,12/09/1976,Θεσπρωτία Τρίκαλα,-,Λιβαδιά 70718/6,Υ.Α. Τρίκαλα Θεσπρωτία
305,HA0427254,01/03/2019,Ανάργυρος,Anarguros,Ριζούλης,Rizoules,Ιερώνυμος,Αιμιλία,Φιλιάγκου,22/08/1951,Εύβοια Τρίκαλα,-,Λιβαδιά 58400/5,Υ.Α. Τρίκαλα Εύβοια
306,OZ7383444,28/05/2009,Διαλεκτή,Dialekte,Νώε,Noe,Στέργιος,Ρεγγίνα,Βασιλείου,24/09/1928,Άρτα Ερμούπολη,-,Άρτα 20719/2,Υ.Α. Ερμούπολη Άρτα
307,ZZ1747832,29/08/2010,Βενετία,Benetia,Σακελλαρίου,Sakellariou,Αντίγονος,Άρτεμις,Τσώνη,26/07/1938,Ζάκυνθος Καρδίτσα,-,Πρέβεζα 19397/2,Υ.Α. Καρδίτσα Ζάκυνθος
308,Z1704053,02/01/2007,Αθανάσιος,Athanasios,Τζανουδάκης,Tzanoudakes,Κύρος,Ρέα,Λογοθέτη,17/02/1936,Σάμος Πύργος,-,Αλεξανδρούπολη 15223/5,Υ.Α. Πύργος Σάμος
309,OI9533869,09/05/2009,Ματρώνη,Matrone,Μαργαρίτη,Margarite,Βαρσάμος,Αργυρώ,Σκυλογιάννη,11/11/1927,Κοζάνη Αγ. Νικόλαος,-,Καστοριά 77490/2,Υ.Α. Αγ. Νικόλαος Κοζάνη
310,O6742600,22/07/2013,Κώστας,Kostas,Μακρυγιάννης,Makrugiannes,Περικλής,Άννα,Καλδή,10/01/1959,Ζάκυνθος Κομοτηνή,-,Καρδίτσα 96698/9,Υ.Α. Κομοτηνή Ζάκυνθος
311,AA7325644,09/04/2021,Φεβρωνία,Phebronia,Χιωτίδου,Khiotidou,Λεμονής,Καλλιρρόη,Τσέτου,16/08/1939,Ηράκλειο Ζάκυνθος,-,Καρπενήσι 25796/1,Υ.Α. Ζάκυνθος Ηράκλειο
