,Surname,Given Name,Gender,Height,Nationality,Date of Birth,Identity No.,Document No.,Date of Expire,Parents,Tax No.,Social Security No.,Health No.
164,Rocha,Wilson,M,1.52,PRT,21 09 1939,25131869,25131869 4 ZZ0,04 11 2025,Micael Pacheco | Mélanie Torres,1904797,217945573907097,225748342108
165,Amorim,Yasmin,F,1.74,PRT,15 04 1946,45354944,45354944 9 ZZ2,08 01 2024,Diego Simões | Letícia Magalhães,7696638,682811243152340,54858684202
166,Lourenço,Bryan,M,1.82,PRT,08 06 1951,20503761,20503761 0 ZZ7,23 07 2025,Fábio Batista | Sofia Sá,9870904,231593461929115,509586517082
167,Almeida,Mauro,M,1.71,PRT,27 09 2003,28468708,28468708 5 ZZ2,12 10 2022,Renato Marques | Isabel Castro,3034064,837836477234988,641503883489
168,Correia,João,M,1.66,PRT,28 10 1974,27984573,27984573 1 ZZ1,08 06 2023,Gonçalo Cardoso | Fabiana Cardoso,5050636,215191696399678,94945185580
169,Maia,Duarte,M,1.52,PRT,25 01 1945,51782896,51782896 4 ZZ1,24 03 2023,Simão Freitas | Emma Maia,2277007,431159917218070,501822537485
170,Fonseca,Sandro,M,1.68,PRT,28 07 1950,86381414,86381414 8 ZZ2,06 01 2028,Bryan Abreu | Mafalda Valente,7860874,496542392994245,602922265941
171,Pinheiro,Erica,F,1.87,PRT,20 07 1927,37717055,37717055 5 ZZ8,20 03 2028,Miguel Jesus | Ângela Vaz,521558,218265860926768,468773554965
172,Borges,Lourenço,M,1.58,PRT,03 08 1953,52270834,52270834 5 ZZ1,18 05 2024,Igor Carvalho | Adriana Lima,4801726,964680438894957,127813254034
173,Cardoso,Júlia,F,1.69,PRT,25 10 1953,46294357,46294357 9 ZZ9,30 12 2022,Ismael Neves | Yara Mendes,5250188,24045066488514,113465887200
174,Matias,Filipe,M,1.76,PRT,27 12 1987,54314973,54314973 3 ZZ1,29 08 2027,Tomás Costa | Carminho Sá,919415,637373997280762,682095420510
175,Leal,Paulo,M,1.35,PRT,30 05 1930,36024583,36024583 3 ZZ4,25 03 2031,Manuel Correia | Ema Melo,6906924,696312347603164,443487222510
176,Domingues,Jorge,M,1.59,PRT,04 01 1921,3788813,03788813 4 ZZ9,17 10 2029,Jaime Mendes | Francisca Figueiredo,3877760,800725202864853,963520596511
177,Mota,Tiago,M,1.69,TJK,09 09 1931,10032384,10032384 3 ZZ8,13 06 2031,Enzo Cunha | Valentina Carvalho,5522007,132438424230801,174677686406
178,Domingues,Vera,F,1.72,PRT,13 05 1935,88132717,88132717 2 ZZ9,09 10 2023,Ângelo Melo | Margarida Martins,7742633,883848151250470,729421287367
179,Barros,Pedro,M,1.93,PRT,28 02 1970,35172113,35172113 3 ZZ1,03 11 2030,Frederico Barbosa | Camila Garcia,2178286,530937697733017,168667749297
180,Pinheiro,Sara,F,1.83,PRT,24 10 1989,92356449,92356449 7 ZZ6,04 07 2022,Francisco Melo | Lorena Paiva,9917443,738328993824054,778828494402
181,Morais,Daniela,F,1.98,PRT,18 10 1979,20972622,20972622 4 ZZ5,28 05 2029,Afonso Cruz | Emília Correia,4122509,977263305172896,19734557949
182,Branco,Carlos,M,1.72,PRT,07 10 1911,47930100,47930100 9 ZZ5,18 07 2024,Micael Vicente | Bruna Freitas,8019408,480675092352389,691795002035
183,Campos,Santiago,M,1.55,PRT,10 02 1962,44866871,44866871 5 ZZ9,16 05 2025,Marcos Paiva | Nádia Lima,4005947,71219239161060,237438632273
184,Vieira,Igor,M,1.6,PRT,20 12 2009,90943945,90943945 5 ZZ2,11 10 2022,Gabriel Ferreira | Lia Melo,4205425,616342406675686,80288619015
185,Alves,Larissa,F,1.71,PRT,01 12 2000,87305527,87305527 9 ZZ0,22 07 2023,Sandro Neto | Anita Nunes,9685393,905437125465664,408215770703
186,Figueiredo,Nicole,F,1.67,PRT,01 09 1941,73646424,73646424 3 ZZ0,27 10 2025,Gabriel Faria | Érica Martins,5074136,472165317557754,258342951750
187,Nunes,Salvador,M,1.75,PRT,10 07 1934,28833508,28833508 1 ZZ2,14 06 2027,Ivan Vaz | Bianca Amorim,2956549,362779528842914,783777554252
188,Abreu,Vítor,M,1.85,PRT,10 10 1952,85797864,85797864 8 ZZ5,24 04 2025,Rodrigo Azevedo | Sofia Cruz,3237099,885247131610400,480480557759
189,Ramos,Sara,F,1.86,PRT,07 06 1932,54118307,54118307 1 ZZ6,09 06 2030,Isaac Amorim | Lúcia Ferreira,8205999,151510735969826,859891237618
190,Domingues,Bruna,F,1.51,PRT,13 02 1924,4421165,04421165 6 ZZ7,24 12 2025,Mauro Faria | Naiara Loureiro,3146042,750216278233861,399712653375
191,Reis,Melissa,F,1.87,PRT,20 06 2007,99298331,99298331 8 ZZ0,13 06 2031,Emanuel Gaspar | Rita Barbosa,1465656,886511966963914,96752020728
192,Faria,Santiago,M,1.86,PRT,17 01 1995,58148829,58148829 2 ZZ3,25 09 2024,Diego Valente | Violeta Anjos,2659929,473413688730189,990788760253
193,Pacheco,Kelly,F,1.68,PRT,19 02 1977,68809094,68809094 0 ZZ6,22 05 2025,Diego Magalhães | Eduarda Rocha,4081066,797255051184466,367246485577
194,Abreu,Fábio,M,1.79,PRT,17 02 1980,25603713,25603713 1 ZZ7,04 07 2027,Martim Cardoso | Eva Paiva,2492832,931296038000808,552968495189
195,Magalhães,Ema,F,1.75,PRT,06 09 1956,48814985,48814985 2 ZZ8,23 09 2030,Samuel Sá | Alexandra Neves,6096085,443858810321946,805746192186
196,Antunes,Ivo,M,1.73,BRN,30 09 1913,40519344,40519344 5 ZZ6,12 01 2026,António Nascimento | Erika Domingues,5583237,436976043634123,35953521832
197,Silva,Rafaela,F,1.64,PRT,06 03 1979,90798302,90798302 7 ZZ0,26 01 2028,João Coelho | Patrícia Freitas,9268231,475099829570870,557216275220
198,Costa,Yasmin,F,1.64,PRT,02 02 1914,61935731,61935731 5 ZZ8,10 02 2031,Hugo Marques | Mariana Neto,4966326,523026266656103,873962851948
199,Barros,David,M,1.77,PRT,21 09 1929,61373407,61373407 7 ZZ6,05 07 2029,Cláudio Costa | Irina Jesus,5526681,892447391029465,240535893734
200,Miranda,Alice,F,1.96,PRT,23 09 1978,99547827,99547827 6 ZZ1,22 12 2030,Santiago Matos | Joana Azevedo,3247771,1109025166265,126210179812
201,Moreira,Noa,M,1.62,PRT,11 03 2006,93172075,93172075 2 ZZ1,01 02 2031,César Vieira | Beatriz Barbosa,9080837,530701273473117,106526552707
202,Marques,Lia,F,1.69,PRT,10 07 1935,47878592,47878592 7 ZZ9,18 01 2030,Manuel Simões | Yara Pinheiro,6955241,770904348878269,968690064348
203,Cardoso,Marcos,M,1.67,PRT,14 10 1951,56738903,56738903 8 ZZ8,29 06 2027,Jaime Neto | Maria Lopes,6540793,247633474551161,720141988804
204,Pinto,Sérgio,M,1.53,CMR,29 08 1959,10933913,10933913 2 ZZ9,22 08 2031,Kévim Melo | Pilar Morais,5027197,690814580083297,557871320651
205,Sá,Alexandre,M,1.7,PRT,09 09 1990,13816778,13816778 5 ZZ6,07 12 2023,Santiago Teixeira | Juliana Castro,8847140,468640492001845,983625924278
206,Costa,Daniela,F,1.62,PRT,01 06 1964,35774851,35774851 0 ZZ4,08 01 2023,Tiago Lima | Luana Costa,5003782,627637214052448,793359059540
207,Antunes,Tomás,M,1.96,PRT,20 07 2001,30416734,30416734 3 ZZ2,11 04 2023,Salvador Fonseca | Núria Neto,1585609,32081684125535,848826276519
208,Henriques,Juliana,F,1.73,PRT,19 04 1972,71333137,71333137 3 ZZ9,28 04 2031,Carlos Esteves | Kyara Almeida,658581,602752917645299,922725584180
209,Nascimento,Gil,M,1.87,PRT,06 11 1993,16378871,16378871 9 ZZ2,20 07 2027,David Gaspar | Miriam Martins,4968068,188358608637857,206697046360
210,Moreira,Lucas,M,1.72,PRT,30 11 1997,92831001,92831001 5 ZZ5,08 08 2030,Frederico Vicente | Maria Barbosa,6684868,488028362997653,945509232717
211,Ribeiro,Mariana,F,1.64,PRT,02 03 1992,16891340,16891340 1 ZZ1,13 07 2031,Tomás Fernandes | Melissa Almeida,6075537,245741190850505,785752717527
212,Teixeira,Joaquim,M,1.86,PRT,22 03 1922,21948753,21948753 8 ZZ9,24 12 2029,Vasco Fernandes | Núria Cardoso,3736454,117840472198947,142793506630
213,Pinheiro,Pilar,F,1.73,PRT,12 08 2003,28020766,28020766 5 ZZ2,18 08 2025,Martim Amorim | Bruna Esteves,1954135,615602428887299,163685157665
214,Pinto,Yasmin,F,1.5,PRT,11 08 1915,80637756,80637756 3 ZZ7,21 05 2023,Rafael Vicente | Tatiana Almeida,2923329,341755922047794,553553255169
215,Abreu,Francisca,F,1.91,PRT,09 03 1939,13125724,13125724 3 ZZ3,01 11 2028,Pedro Henriques | Violeta Monteiro,4894944,976681257314413,855081082677
216,Vaz,Leandro,M,1.71,PRT,21 04 2009,11318600,11318600 3 ZZ1,26 02 2022,Samuel Valente | Adriana Azevedo,1212037,423961271996533,482164510736
217,Correia,Benjamim,M,1.6,PRT,15 07 1977,59781715,59781715 3 ZZ3,15 02 2025,Benjamim Oliveira | Inês Pinto,6450044,240172154450330,62125501010
218,Teixeira,Filipa,F,1.97,PRT,23 12 1963,48309384,48309384 8 ZZ6,17 11 2030,Rui Matos | Ana Garcia,2651589,786645980929275,740755354031
219,Batista,Igor,M,1.88,PRT,12 01 1998,90997714,90997714 7 ZZ7,18 03 2030,César Nunes | Andreia Fernandes,5710761,123712866771574,979448438711
220,Carvalho,Renata,F,1.63,PRT,01 06 1914,32188170,32188170 1 ZZ3,30 09 2026,Gabriel Campos | Constança Sá,1328512,584269995291644,274012765085
221,Carvalho,Rafaela,F,2,PRT,28 03 1969,28062567,28062567 1 ZZ1,17 11 2027,Luca Marques | Vitória Lopes,3230005,323094119492794,841997690823
222,Domingues,Isabel,F,1.64,PRT,26 09 1981,28162684,28162684 9 ZZ9,29 05 2023,Filipe Lourenço | Leonor Moreira,6541756,77604206597549,788260323231
223,Abreu,Soraia,F,1.76,PRT,25 10 1941,66826034,66826034 7 ZZ1,06 03 2026,Bernardo Cruz | Vera Amorim,4823899,864008766191689,93871803720
224,Esteves,Enzo,M,2,PRT,05 05 1931,67272471,67272471 0 ZZ6,29 09 2027,Nuno Borges | Diana Domingues,4910489,381259193730424,664340367777
225,Macedo,Marta,F,1.77,PRT,09 03 1993,17689564,17689564 3 ZZ2,13 10 2024,Hugo Barbosa | Constança Vieira,4925648,48873798351666,23351658951
226,Machado,Margarida,F,1.64,PRT,17 10 1987,47937277,47937277 7 ZZ3,31 07 2028,Vicente Matias | Luana Barros,790244,802901287848397,253528853153
227,Leal,Leandro,M,1.63,PRT,01 02 1960,11477884,11477884 2 ZZ0,09 05 2024,Lucas Baptista | Matilde Monteiro,93744,932475296590099,731258911688
228,Brito,Carlota,F,1.59,PRT,25 02 1991,70511934,70511934 7 ZZ1,16 03 2029,Kévim Marques | Patrícia Miranda,5746422,946835861939816,434401707364
229,Simões,Vítor,M,1.76,TWN,30 06 1988,10825212,10825212 9 ZZ2,14 10 2029,Leonardo Reis | Mariana Mendes,4867418,26794241364503,669500461898
230,Vaz,Diego,M,1.61,PRT,04 02 1934,84110549,84110549 4 ZZ4,20 01 2029,Rúben Domingues | Érica Figueiredo,1118728,94989509510071,359022802174
231,Faria,Cláudio,M,1.46,PRT,14 01 1944,32196367,32196367 7 ZZ3,30 08 2023,Rafael Mota | Vera Cruz,1337339,767892610076006,242395067297
232,Martins,Sara,F,1.36,PRT,09 04 2003,75914970,75914970 6 ZZ5,22 08 2024,Santiago Soares | Adriana Pinho,8195795,460524275312054,41278618832
233,Esteves,Bruno,M,1.73,PRT,01 03 1993,83709381,83709381 0 ZZ0,13 04 2024,Eduardo Fernandes | Íris Araújo,4058526,954016012548136,346325648107
234,Gomes,Melissa,F,1.36,PRT,12 07 1961,23912745,23912745 9 ZZ8,06 09 2027,Gil Miranda | Bruna Lima,2372024,281503363317999,129570874852
235,Matias,Anita,F,2.01,PRT,28 05 1973,43686474,43686474 7 ZZ7,28 02 2031,Pedro Nunes | Kyara Alves,1327207,865692994890679,271032774611
236,Loureiro,Inês,F,1.59,PRT,07 06 1928,17724815,17724815 2 ZZ0,29 04 2027,Gustavo Pereira | Caetana Miranda,4838003,442790607417736,999206670872
237,Moreira,Rodrigo,M,1.44,PRT,08 06 1931,43636633,43636633 5 ZZ8,11 07 2028,Enzo Andrade | Flor Ferreira,891287,248433728847616,787738074381
238,Martins,Rita,F,1.67,PRT,10 05 1949,26065400,26065400 0 ZZ7,26 08 2029,Lourenço Ramos | Luana Ramos,5760317,654451309611982,238379627732
239,Matias,Sofia,F,1.4,PRT,16 05 1994,74106910,74106910 7 ZZ4,17 06 2025,Henrique Coelho | Daniela Vieira,8986480,609298174664208,451100187192
240,Ferreira,João,M,1.62,PRT,22 03 1969,4116854,04116854 3 ZZ2,03 05 2031,Leonardo Cunha | Letícia Vicente,8367384,174032575717565,546498205780
241,Ribeiro,Joana,F,1.9,BGR,14 06 1998,53643821,53643821 4 ZZ8,27 04 2023,Sérgio Neto | Irina Paiva,7825986,30003901417732,82337997483
242,Brito,Raquel,F,1.77,PRT,02 01 1940,85744185,85744185 2 ZZ2,20 04 2029,Guilherme Barbosa | Helena Reis,5064187,173345575146029,826309108313
243,Jesus,Guilherme,M,1.67,PRT,24 07 1960,25778377,25778377 0 ZZ4,29 06 2025,Joel Branco | Érica Nogueira,5867608,909220439675315,70636860719
244,Jesus,Miguel,M,1.52,PRT,18 12 1913,17920180,17920180 0 ZZ6,02 11 2023,Gonçalo Sousa | Inês Nunes,3598375,33606488590589,725005541262
245,Batista,Sofia,F,1.65,PRT,26 11 1919,42537942,42537942 3 ZZ6,06 12 2027,Leandro Esteves | Vitória Pinheiro,94027,345351544500205,977573988006
246,Teixeira,Lara,F,1.57,PRT,31 03 2011,46082516,46082516 3 ZZ3,04 06 2029,Afonso Cardoso | Jéssica Amorim,1870018,692708796097608,977241724498
247,Neto,Rui,M,1.7,PRT,24 11 1955,46729648,46729648 8 ZZ0,29 04 2028,Fernando Pinheiro | Bianca Guerreiro,8685275,939063344622654,250588802502
248,Batista,Henrique,M,1.84,PRT,16 05 1939,18700302,18700302 3 ZZ1,06 05 2025,Alexandre Leite | Yara Matos,6866920,52804875407596,260436400246
249,Valente,Vicente,M,1.65,PRT,14 04 1922,69444642,69444642 1 ZZ0,17 09 2027,António Azevedo | Miriam Araújo,9231480,940639675276017,727106852589
250,Antunes,Luciana,F,1.92,PRT,22 07 2004,3982951,03982951 6 ZZ0,08 05 2031,Jaime Jesus | Larissa Rocha,2300837,615939933098759,283284331762
251,Carneiro,Mariana,F,1.58,LBR,04 10 1917,46452660,46452660 4 ZZ4,12 09 2022,Bruno Brito | Flor Costa,2086329,529297373203040,391645036404
252,Mota,Ismael,M,1.95,MAR,28 12 1928,26057055,26057055 3 ZZ0,20 10 2027,Noah Nogueira | Constança Ribeiro,2407245,169448756429121,291724066307
253,Araújo,Kelly,F,1.86,PRT,15 07 1913,86327879,86327879 1 ZZ6,18 08 2026,Rafael Matos | Miriam Loureiro,5335106,94271773100004,747811008258
254,Borges,Márcio,M,1.51,PRT,02 11 1977,66481967,66481967 0 ZZ9,14 11 2025,Mário Costa | Emília Rocha,3742297,512747787658571,615234972988
255,Andrade,Xavier,M,1.73,CZE,27 07 1941,84518036,84518036 7 ZZ6,13 11 2021,Diego Monteiro | Carlota Freitas,8515350,946813765625859,636663993190
256,Santos,Leonardo,M,1.94,PRT,27 05 1957,14140218,14140218 6 ZZ6,19 05 2025,Isaac Ferreira | Teresa Faria,1075032,271399160340723,315669692716
257,Cardoso,Alexandra,F,1.56,PRT,28 11 1916,15784951,15784951 3 ZZ2,16 05 2024,Martim Branco | Fabiana Abreu,8360470,574077212029834,445735334418
258,Coelho,Wilson,M,1.74,PRT,25 08 1991,15532483,15532483 0 ZZ5,09 09 2028,Wilson Matos | Madalena Vieira,5595720,80031886439580,408272331077
259,Rodrigues,Mauro,M,1.73,PRT,12 03 2005,30058217,30058217 9 ZZ7,08 04 2025,Carlos Pinho | Inês Miranda,9509075,898187550847843,354990879517
260,Lopes,Lourenço,M,1.44,PRT,23 12 1925,48741295,48741295 4 ZZ9,29 03 2031,Salvador Teixeira | Vitória Assunção,7171821,581867215235242,200219094257
261,Magalhães,Enzo,M,1.6,PRT,27 02 2009,57274540,57274540 0 ZZ3,23 01 2022,Cristiano Pinheiro | Eva Andrade,3099937,863199456899987,918427348938
262,Amorim,Isaac,M,1.74,PRT,27 09 1930,96413656,96413656 6 ZZ6,20 05 2031,Gustavo Machado | Miriam Santos,3478414,184180658758691,450624365984
263,Morais,Anita,F,1.53,PRT,27 05 1935,70804530,70804530 1 ZZ3,23 04 2025,Diogo Garcia | Tatiana Almeida,77165,372955536355730,52736913000
264,Assunção,Caetana,F,1.79,PRT,23 02 1981,65593989,65593989 4 ZZ4,16 10 2023,Kevin Tavares | Leonor Morais,5356206,253349062879753,738531418372
265,Nunes,Renato,M,1.87,PRT,15 07 2001,66853336,66853336 8 ZZ6,26 05 2027,William Freitas | Laura Matos,2945845,156854962657117,396609130637
266,Freitas,Margarida,F,1.66,PRT,14 06 1934,31375666,31375666 9 ZZ3,04 06 2026,Cláudio Magalhães | Mafalda Cunha,6806053,400089047656409,456240669763
267,Assunção,Jéssica,F,1.94,PRT,27 10 1935,28814890,28814890 1 ZZ9,10 07 2024,Fernando Pacheco | Sofia Vaz,1146539,508199534331407,353452916278
268,Baptista,Adriana,F,1.65,NAM,17 07 1972,49684778,49684778 4 ZZ3,01 09 2028,Rui Soares | Margarida Morais,5022810,426646873148097,455291532128
269,Guerreiro,Nair,F,1.54,PRT,13 11 1977,88535859,88535859 2 ZZ3,08 07 2027,Gonçalo Antunes | Carminho Antunes,6737701,227916891292904,884127266377
270,Santos,Renato,M,1.48,PRT,22 07 2009,40959650,40959650 2 ZZ4,19 06 2031,Tomé Batista | Clara Pereira,382807,912150876551723,363740122234
271,Amorim,David,M,1.67,PRT,27 01 1926,4623188,04623188 1 ZZ4,16 11 2030,Ivan Simões | Inês Amaral,2485878,83042916377924,363561140012
272,Ferreira,Sofia,F,1.84,PRT,28 03 1971,59636472,59636472 2 ZZ8,14 12 2028,André Pinho | Madalena Carneiro,2868603,883902172257446,570182248349
273,Morais,Eva,F,1.75,PRT,22 09 1911,45024625,45024625 0 ZZ2,08 04 2025,Gustavo Magalhães | Sara Andrade,1103670,362790436317502,534402600037
274,Lourenço,Noah,M,1.71,PRT,14 09 1922,28762269,28762269 0 ZZ1,12 03 2028,Emanuel Nascimento | Adriana Alves,6804138,263652730294052,61740616384
275,Matos,Jaime,M,1.65,PRT,20 11 1939,8535134,08535134 6 ZZ0,24 02 2027,Gustavo Soares | Eduarda Matias,2959696,393950381121540,409950832704
276,Pinheiro,Juliana,F,1.64,PRT,12 05 1964,45032674,45032674 7 ZZ4,21 06 2028,Brian Gomes | Ariana Pereira,2324207,362940724207995,385194269464
277,Lopes,Bernardo,M,1.57,PRT,01 09 1933,50399969,50399969 2 ZZ4,14 11 2027,Tomé Cruz | Patrícia Assunção,4278369,681973119837770,510972747387
278,Borges,Luca,M,1.71,PRT,10 06 1913,27443868,27443868 4 ZZ4,19 09 2025,Rafael Matias | Beatriz Miranda,7629772,977178067987293,153740079619
279,Castro,Francisco,M,2.04,PRT,28 04 1966,90438858,90438858 2 ZZ4,31 05 2028,William Melo | Teresa Antunes,3463924,215152186103860,885162870936
280,Figueiredo,Irina,F,1.78,BHS,20 05 1978,84816331,84816331 9 ZZ3,13 08 2028,Noah Vieira | Lorena Ribeiro,8349127,291325755244226,50407564152
281,Anjos,Simão,M,1.88,PRT,24 04 1938,17837168,17837168 5 ZZ6,18 09 2025,Pedro Esteves | Teresa Domingues,7904464,534210681472684,405172242884
282,Faria,Filipe,M,1.72,PRT,09 06 1937,62180911,62180911 2 ZZ8,14 08 2023,Márcio Barbosa | Alícia Abreu,731651,416542424626382,744637755881
283,Pacheco,Ana,F,1.87,PRT,30 09 1927,80718319,80718319 7 ZZ4,16 12 2026,Mateus Vieira | Rita Amorim,3954415,321426552771466,443448969624
284,Baptista,Violeta,F,1.94,PRT,25 12 1988,11529535,11529535 1 ZZ8,15 07 2027,Edgar Valente | Naiara Branco,5014930,640937616086741,310114432170
285,Melo,Gaspar,M,1.77,PRT,26 08 1961,66264822,66264822 8 ZZ4,06 04 2022,José Macedo | Patrícia Melo,7948753,915843932352823,191115797870
286,Martins,Wilson,M,1.76,PRT,23 01 1991,41171094,41171094 4 ZZ7,24 06 2028,Rafael Pinho | Leonor Cruz,9776833,168712567323781,230732299815
287,Gonçalves,Erika,F,1.45,PRT,07 03 1952,66942676,66942676 9 ZZ0,04 09 2024,Diogo Ferreira | Laura Loureiro,9144104,893084064974843,800129842295
288,Cardoso,Flor,F,1.66,PRT,07 06 1962,42878714,42878714 9 ZZ6,05 06 2022,Miguel Tavares | Carolina Lopes,1646187,733848233002125,770132813561
289,Matias,Frederico,M,1.66,PRT,02 12 2007,26455351,26455351 5 ZZ0,30 12 2025,Enzo Barros | Catarina Pinho,5382202,262339667928031,845178616258
290,Fernandes,Carolina,F,1.65,PRT,15 04 1919,99369278,99369278 7 ZZ3,05 03 2030,Mário Sousa | Erica Branco,6350626,829921474831652,182203566634
291,Loureiro,Maria,F,1.78,PRT,14 08 1941,77709345,77709345 2 ZZ9,09 10 2023,Diogo Araújo | Lia Coelho,8684161,311923671492694,215533248610
292,Cardoso,Patrícia,F,1.5,PRT,18 07 2002,79275827,79275827 9 ZZ9,03 10 2022,João Barros | Yara Maia,7820639,918913232502488,497626761116
293,Melo,Melissa,F,1.63,PRT,02 01 1943,20613078,20613078 8 ZZ6,14 01 2028,Jaime Sousa | Mara Valente,704128,13580802426263,279363143706
294,Silva,Fábio,M,1.78,PRT,02 06 1916,63037563,63037563 3 ZZ7,10 01 2022,André Gaspar | Erika Oliveira,7919299,852521461909457,709472483590
295,Sá,Alexandra,F,2.2,GRD,22 03 1930,82347752,82347752 6 ZZ0,14 01 2025,Gaspar Magalhães | Soraia Sá,7192018,270093593171479,154745119991
296,Neto,Brian,M,1.54,PRT,15 05 1959,67119626,67119626 9 ZZ9,22 11 2023,Gil Gaspar | Larissa Fernandes,7054763,325737675880411,675872743496
297,Lourenço,Petra,F,1.72,PRT,12 12 1979,72080058,72080058 5 ZZ6,29 09 2026,Henrique Cardoso | Margarida Henriques,5666943,349451723283166,246178383246
298,Vicente,Yara,F,1.77,PRT,11 07 1919,88423321,88423321 2 ZZ5,23 09 2021,Santiago Pereira | Inês Paiva,9018902,58178934308079,795324691684
299,Paiva,Raquel,F,1.77,LUX,15 05 2007,9153519,09153519 6 ZZ6,03 08 2026,Samuel Rodrigues | Mia Freitas,328257,380541867651021,19176105992
300,Moreira,Lucas,M,1.73,PRT,07 11 1988,37216207,37216207 5 ZZ4,02 01 2023,Luís Campos | Bárbara Faria,9962881,895162507919624,36688981256
301,Henriques,Álvaro,M,1.67,LCA,13 02 2003,77567658,77567658 0 ZZ6,30 01 2031,António Teixeira | Amélia Henriques,2213207,88897048172647,340058201085
302,Guerreiro,Miguel,M,1.77,PRT,29 10 1956,73423266,73423266 4 ZZ2,04 06 2023,Afonso Carvalho | Alice Nogueira,4607631,618000979149902,865506267840
303,Moreira,Lara,F,1.67,PRT,02 10 1949,32926442,32926442 8 ZZ8,07 10 2022,Lisandro Gomes | Teresa Mota,540626,69239637474216,290562626405
304,Gaspar,Bianca,F,1.67,PRT,20 08 1994,66592281,66592281 4 ZZ1,24 08 2024,Eduardo Pinto | Raquel Correia,2743232,443376932007512,821655913779
305,Fonseca,Bruna,F,1.86,PRT,19 09 1958,62220250,62220250 2 ZZ3,23 08 2026,Simão Pinheiro | Letícia Fonseca,6911729,987209263561058,171654753637
306,Moreira,Ivan,M,1.93,GBR,06 03 1930,4899503,04899503 8 ZZ0,27 09 2030,Noah Gomes | Madalena Lopes,3914840,578160747358644,712609406079
307,Baptista,Nuno,M,1.59,PRT,09 10 1924,31013339,31013339 5 ZZ2,10 09 2022,Marco Henriques | Eduarda Costa,3986314,55261634251738,599456101528
308,Domingues,Irina,F,1.67,PRT,12 05 1997,70568197,70568197 7 ZZ6,17 06 2026,Jorge Oliveira | Flor Marques,9036563,674005857604541,833477181355
309,Jesus,Afonso,M,1.71,PRT,22 06 1931,36827064,36827064 9 ZZ7,28 10 2022,Salvador Figueiredo | Madalena Nunes,306513,36614429654624,739142904413
310,Valente,Violeta,F,1.47,PRT,10 11 1926,89453289,89453289 3 ZZ0,09 03 2026,Luís Mota | Victória Reis,2194589,811857260076194,895076956260
311,Matias,Erica,F,1.66,PRT,20 12 1940,91011893,91011893 9 ZZ3,12 01 2027,Álvaro Reis | Carolina Costa,5317298,372667123576981,673882351849
312,Anjos,Artur,M,1.91,PRT,13 12 1914,86950641,86950641 6 ZZ3,10 01 2028,Paulo Torres | Yasmin Paiva,7053575,244997722348873,851078248711
313,Guerreiro,Ivan,M,1.76,PRT,04 06 1997,57494932,57494932 4 ZZ1,29 03 2027,Luca Faria | Matilde Nascimento,9674427,350372748985254,189343588577
314,Teixeira,Eva,F,1.68,PRT,28 12 1987,46130049,46130049 1 ZZ4,27 04 2023,Isaac Henriques | Violeta Almeida,2106402,239019077548895,789591478316
315,Morais,Emanuel,M,1.77,CHN,04 10 1962,4722857,04722857 3 ZZ1,17 01 2029,Emanuel Ribeiro | Andreia Gonçalves,7365670,852699197945056,563118162180
316,Almeida,Ricardo,M,1.88,PRT,18 08 1925,78190425,78190425 7 ZZ7,13 03 2030,Cristiano Pinheiro | Nádia Abreu,6260212,653073274656198,694205721782
317,Castro,Gonçalo,M,1.78,PRT,05 09 1914,60559307,60559307 6 ZZ5,16 12 2029,César Pereira | Kelly Torres,528536,369440742740914,398333980795
318,Cruz,Emma,F,1.86,PRT,04 01 1996,64619624,64619624 8 ZZ4,26 04 2025,Gustavo Oliveira | Margarida Marques,7887669,338999826959639,369762741772
319,Pacheco,Irina,F,1.91,PRT,12 06 1966,55081432,55081432 4 ZZ3,11 12 2030,Bryan Batista | Alícia Pires,4793047,140269789169515,121564042940
320,Pinto,Bárbara,F,1.61,PRT,13 05 1993,8721200,08721200 7 ZZ3,16 08 2030,William Correia | Miriam Costa,3814514,23757638658862,661203176806
321,Pinheiro,Enzo,M,1.49,PRT,10 02 2006,5368437,05368437 9 ZZ7,29 07 2023,Bernardo Amorim | Fabiana Maia,9166531,283516231460795,604393414542
322,Macedo,Benjamim,M,1.72,PRT,31 03 1984,39751018,39751018 3 ZZ4,10 10 2022,Cristiano Santos | Irina Guerreiro,5730809,618492717984478,246780201760
323,Costa,Daniel,M,1.74,PRT,15 07 1980,92454322,92454322 5 ZZ3,30 03 2026,Gil Vieira | Diana Fernandes,1050554,894573836929086,58472038685
324,Ribeiro,Mafalda,F,1.72,PRT,17 10 1955,39817170,39817170 7 ZZ3,26 02 2031,Noah Castro | Carolina Maia,2398913,206710508736072,633624995148
325,Pacheco,Sebastião,M,1.83,PRT,06 08 1959,77268248,77268248 0 ZZ1,11 05 2029,Xavier Matos | Benedita Cruz,8423560,587841546495913,139937071817
326,Torres,Pilar,F,1.74,MHL,31 05 1964,46916697,46916697 2 ZZ9,29 01 2030,Manuel Pires | Leonor Carneiro,9763723,161970255597907,716885935405
327,Vaz,Tomé,M,1.5,PRT,13 11 1956,19827313,19827313 1 ZZ2,16 05 2023,Tomé Oliveira | Júlia Pinho,4536643,904020192079442,65221126683
328,Pacheco,Constança,F,1.83,PRT,12 11 1952,21758500,21758500 2 ZZ0,18 01 2031,Ismael Campos | Andreia Gaspar,7909777,929526418115744,56152645607
